mbid	thedomid	thename	location	explanation
a95cd1ea85de	UP4Y0024	Alsfelder	58-59	-
e44a199ef687	UP5H0206	Altorp	50-33	-
fb2a9e5fd451	TP5H0115	Alvik	39-52	-
1e5b72775d19	AMASync1	AMANDA_SYNC_DOM	00-91	-
1d165fc478ca	AMATrig1	AMANDA_TRIG_DOM	00-92	NULL
9351a1c0e4a5	UP6H7504	Amarantertrappan	72-07	-
8a0153338c83	TP6Y4417	Amaravati	74-48	Indian Gods and legendary heroes
49575140b972	UP6P1274	Amaryllis	58-19	A Flower
21977f66dc55	TP4P0133	Amber	40-50	-
5a3b102f61c5	TP6P1599	Amber_Color	63-04	A color
a1b35d8f2a0b	TP7Y4603	Ambiliati	77-60	NULL
eac31cc54fd3	UP6Y4428	Ambrosia	64-29	Indian Gods and legendary heroes
83d8f521b859	TP5Y0175	AMC_Marlin	59-18	-
847c2ae1a807	UP6Y4480	Amduat	57-11	Gods of Ancient Egypt
b932488e2f89	UP6P1634	American_Graffiti	71-45	Nostalgic look at 1950s California
a32cadc39c18	TP6P1303	American_Psycho	48-40	Set in the late 1980s, mainly in Manhattan, and gives an account of roughly two years in the life of Patrick Bateman.
a54adc5445a7	TP6H7505	Amiralitetsbacken	72-28	-
86e7ab34a561	UP6Y4344	Amma	55-51	African Gods and Legendary Heroes
659f74962a8f	TP6Y4395	Amon	70-36	Gods of Ancient Egypt
6b22691c7809	UP5P0614	Amychophobia	29-27	-
0562f85ae5b8	UP6P1434	Anaktuvuk_River	63-29	rises in N Brooks Range
72feae6a357a	UP6H7506	Andreegatan	47-01	-
8721271a6d2c	UP5P0880	Andromimetophilia	40-17	-
0a08de118fec	UP5P0840	Androphilia	39-25	-
8ef624febccd	UP5P0796	Anesthesiology	38-15	-
ae7cc610e8de	TP5Y0177	Angelia_Coupe	63-06	-
3ee49849ffa6	UP5P0864	Angelology	46-47	-
3ee043a5fde3	UP5P0996	Anglophilia	78-55	-
55305bfb5fd5	TP7P2257	Angmar	62-56	NULL
82a73e5f5675	UP4Y0022	Anheuser_Busch	58-57	-
066b7ebe2c26	TP6P1443	Aniak_River	67-04	flows 100 mi/161 km N to Kuskokwim R. at Aniak
9a91a407a4b7	TP6P1725	Animal_House	70-04	A look at the college party experience
e68a6acda6b4	UP5H0236	Anka	46-51	-
7af1655a84df	TP5P0959	Annapolis	49-10	-
1e79154829b9	UP6P1638	Annie_Hall	64-19	Oscar winning romantic comedy
06a01c105181	UP4H0029	Ansgar	40-43	-
8c7bbad7158a	TP6H7507	Ansgariegatan	72-56	-
16a5b9112b00	UP4P0252	Antelope	21-21	-
846519f9a592	UP5P1004	Anthophilia	39-53	-
fbfd0026868a	UP4P0196	Anthracene	21-37	-
2c0cecbd809d	TP5P0981	Anthrax	73-12	-
21b102056701	UP5P0862	Anthropology	46-37	-
aea89c50c9d2	UP6P1350	Ant_Nebula	72-35	Referred to as the Ant Nebula because it resembles the head and thorax of a garden-variety ant.
e02e36073f39	TP6P1503	Anvik_River	67-60	W Alaska, SE of Norton Sound
03a8ad82d44a	TP6P1421	APL	63-54	A Programming Language based on a CS notation by Kenneth Iverson
88012a1b7bf7	UP5P0848	Apodysophilia	71-27	-
8d1b3ee8f90b	TP4Y0057	Apostel_Braue	71-28	-
91a4f3237e07	UP5P0860	Apotemnophilia	74-21	-
d0aaa4430f0f	UP7P2118	Appenzeller	76-25	NULL
cb545b4fdb54	TP6P1627	Appleby	63-34	Appleby is a young pilot from Iowa. Orr does not like him, and cryptically says that he has flies in his eyes
fbc76652eb62	UP6P1450	Applescript	64-03	scripting language built into MacOS
f6c43323753e	UP5P0744	Arachnology	38-21	-
0fa175799dac	UP5P0750	Archeology	66-59	-
099c7fc94999	TP4Y0007	Arcobraue	71-36	-
cadddb51694e	UP7Y4574	Aremoricii	76-33	NULL
789ca09a087e	UP4P0148	Argon	21-51	-
9c2b2b464cb9	AP6P1177	Argos	68-61	NULL
8d78210718e2	UP7P2170	Ariel	62-13	NULL
19768b41eb40	TP6Y4413	Arjaman	65-06	Indian Gods and legendary heroes
c9310c0d6306	TP7Y4483	Arkadak	55-24	NULL
b07345827db0	UP4P0258	Armadillo	63-21	-
2717bc270f5a	TP7Y4569	Arvernii	76-32	NULL
1eb4f2e88f64	UP6Y4292	Asat	47-49	NULL
e12b26b755ea	UP5P0878	Asiaphilia	59-31	-
44c3682eb25c	TP4P0217	Asparagus	30-46	-
451b26895d20	TP5P0967	Aspergillosis	78-06	-
bd48e39cc714	UP5H0172	Aspudden	39-21	-
73406bd01843	TP6P1595	Asteroids	63-08	a vector based arcade game where you control a ship shooting down asteroids
a3e1a74474ba	TP5Y0179	Aston_Martin_V12	64-54	-
8f61424af0b3	UP5P0792	Astrology	64-41	-
309126999fc9	UP5P0854	Astrophilia	39-55	-
6c10d2c16763	TP6P1881	Atafu	52-63	NULL
c4b2d9e19419	UP5P0590	Ataxophobia	39-13	-
711847114248	AP6P1185	Athens	53-61	NULL
292214381c35	TP5P0893	Atlanta	63-02	-
094e2c31fa02	UP5P0734	Audiology	63-59	-
93fdad986c6f	UP5P0992	Audiophilia	39-33	-
a1dae6880236	TP5Y0181	Audi_A8	40-38	-
467ca5f841bf	TP4Y0063	Aufsesser	58-14	-
07c04b2b559b	TP5P0849	Augusta	49-24	-
e60b983e412e	UP5P0656	Auroraphobia	29-59	-
07350f467e84	TP5Y0183	Austin_Healey_3000	50-10	-
56be376c054f	UP6P1784	Austrian_Airlines	62-15	Austria national airline
1d8883c5eb05	UP5P1000	Autassasinophilia	56-21	-
c7441f53be59	UP5P0868	Autogynephilia	59-25	-
7d3fc25a17e6	UP5P0858	Autophilia	40-47	-
b821873ff31a	TP5Y0185	Avanti_GT	30-24	-
0e8d14c646de	UP6Y4388	Avatara	66-09	Indian Gods and legendary heroes
5e17341bb4eb	UP4P0204	Avocado	21-47	-
5ec891d83b6a	AP5H0235	Axelsberg	77-64	-
87f40dd137fc	UP5P0766	Axiology	66-55	-
700721bb194d	AP6P1129	A_Top	65-64	on top of
359ab791855c	TP5P0949	Babesiosis	65-12	-
0045bed2e4d1	UP6H7510	Babordsgatan	48-51	-
beef4c77fd7b	AP6P1161	Babylon	75-61	NULL
d4ff422e05b5	TP6P1391	Baccarat	65-60	A card Game
6807dbacd9a9	UP5P0552	Backdraft	38-31	-
d7bc23a055e1	UP5P0778	Bacteriology	49-39	-
bf15323513ac	UP4P0262	Badger	50-29	-
dcc216356b8a	UP5H0182	Bagarmossen	57-49	-
3e3546026c45	TP6H7511	Baggensgatan	57-06	-
198858dc69cb	TP6P1517	Bake_Neko	48-22	Cat monster
43e81599d704	UP6H7652	Bakplan	77-37	NULL
ec3d154eb359	UP6H7512	Baldersgatan	57-47	-
19d608394000	UP5P0770	Balneology	74-53	-
51c2b0b2f2d6	TP4P0113	Banana	38-56	-
ccef0ef2d3e5	TP6H7513	Banergatan	48-02	-
6c62cee79e41	UP5P0502	Barat	67-41	-
9998b656a3fc	UP6P1354	Barbell	71-11	It was originally thought to consist of two separate nebulae.
1b924a8b2264	TP6P1373	Barbu_Card	65-58	A card Game
c0c77d10f143	TP4P0159	Barley_wine	30-02	-
0604b93ff205	UP6H7514	Barnhusgatan	72-25	-
a2ac5b39f907	TP4Y0049	Barre	64-48	-
043b9259cfe0	TP6P1447	BASIC	64-08	Beginners All-purpose Symbolic Instruction Code
7d8833638c3b	TP6H7515	Bastugatan	57-26	-
c8689d728b08	TP5H0147	Bastulunsen	72-34	-
737d355af587	UP4P0264	Bat	21-01	-
e25bfe6bde9e	TP5P0907	Baton_Rouge	73-36	-
e440f02605ef	TP6H7655	Batteri	77-36	NULL
9fbae1613489	UP6H7516	Batteriparken	48-15	-
f9bfbbd1451d	TP5Y0079	Baumschulenwegg	58-60	-
83aa7b9aa2c2	TP4Y0023	Bavaria	40-48	-
a8d9dca9bcba	TP4P0099	Bavette	49-54	-
9a168e749e4f	UP5P0522	Bayamo	59-19	-
3ce8c188bdf6	UP4Y0050	Becks	30-01	-
12a8d213e2ac	TP4P0173	Beet	38-16	-
5695354a2bf8	TP5Y0097	Bellevue	40-28	-
8470845249fc	UP6P1260	Bellflower	48-43	A Flower
55c147b34eb5	TP6P1907	Bellona	55-02	NULL
0a759178688b	UP7Y4590	Bellovaci	76-31	NULL
b461aab8896f	UP6Y4426	Benben	47-11	Gods of Ancient Egypt
0a796fa4b49b	TP5Y0187	Bentley_Amage	38-52	-
7cf34d883b4d	TP6Y4257	Benu	56-54	Gods of Ancient Egypt
6ae6cbf7c02b	UP4P0234	Benzene	SP-01	-
2bd04de630c9	UP6H7518	Bergsgatan	48-05	-
37504355c3f8	TP6H7519	Bergsundsgatan	57-14	-
ddd6a46d3741	TP5Y0145	Berlin_Schonefeld	59-14	-
bb7c26343f8c	TP5Y0137	Bernau	39-36	-
a2a379faa0ba	UP4P0138	Beryllium	21-57	-
85bde2da98d1	UP6Y4396	Bes	57-25	Gods of Ancient Egypt
1adcbe4f3b75	TP6Y4431	Bharata	72-24	Indian Gods and legendary heroes
ef05066cdcfd	UP6Y4418	Bhima	70-15	Indian Gods and legendary heroes
94e7b98b1317	UP5P0866	Bibliophilia	40-01	-
8ca33eaaaad0	TP6P1399	Bid_Poker	65-18	A card Game
1551e2c72d57	UP5P0550	Bigfoot	29-31	-
ed51beb261da	AP6P1119	Big_Top	77-61	a Circus
efc9607742b9	TP6P1371	Big_Two_Card	78-60	A card Game
716833dac3db	TP6P1873	Bikini_Atoll	76-60	NULL
04a8879fdb07	TP6H7621	Billinge	77-34	NULL
7d0ba12f4407	UP6P1706	Biman_Bangladesh	55-23	Bangladesh national airline
c1337d72ead2	TP6P1397	Bingo_Card	47-10	A card Game
426a184104eb	UP5P0804	Biology	49-23	-
bd44500d0f35	UP5P0836	Biometeorology	49-17	-
28dddb21dced	UP5P0856	Biophilia	59-27	-
bd74d1a6c543	TP4H0055	Birka	38-46	-
f16f3e478eed	TP4Y0017	Bitburger	67-48	-
dd7b82733671	UP4P0094	Blackberry	38-59	-
e6e66ab4c092	TP5H0113	Blackeberg	40-08	-
695861a4183e	TP7P2319	Blackfoot_Tribe	62-44	NULL
606e6e67b4a5	UP6P1392	Blackjack	65-49	A card Game
d52b66ab6861	TP4P0199	Black_bean	30-64	-
ee18c423f491	UP6P1472	Black_River	63-53	rises in 2 headstreams in the Yukon
e2ce835e7ad7	AP6P1150	Black_Top	64-64	road paving material such as asphalt
c589633ab8d2	TP6P1299	Blair_Witch	48-44	The Blair Witch Project is a low budget American horror film released in 1999. It tells the story of three young student filmmakers who get lost in the woods while filming a documentary about the eponymous local legend.
f1af77b4b7f6	TP7Y4591	Blannovii	77-10	NULL
7c2881c092b6	TP6P1715	Blazing_Saddles	70-20	Western Comedy from Mel Brooks
533893a39a29	UP5P0674	Blennophobia	56-55	-
057674132159	UP6P1396	Blind_Hookey	72-59	A card Game
e407b3653520	AP6P1138	Blind_Stop	62-61	A strip of material fastened to the inside perimeter of a window frame used to hold a sash in place.
866da7df22b7	TP6P1453	BLISS	64-46	System programming language made popular by DEC and obscured by C
ea3407c31ec5	TP4P0175	Blonde_ale	74-62	-
4fc12068317b	UP6P1304	Bloody_Birthday	58-49	Bloody Birthday is a 1981 horror film directed by Ed Hunt.
2ff0b8934e77	TP6P1635	Blue	76-16	A color
a8ca9c01fdcf	TP6P1211	Bluebell	63-56	A Flower
b1fc89162c0b	UP4P0080	Blueberry	30-53	-
d030f9de4010	UP4H0026	Bluetooth	30-25	-
732e937e6832	TP5Y0189	BMW_M3	49-58	-
c51dfaa9f463	UP5H0144	Bodharan	46-45	-
3c9ae2d127d7	TP7Y4589	Bodiocasses	76-10	NULL
58a90e542f8e	UP5P0578	Boggart	30-19	-
42a5ed72a3ef	UP5P0586	Boggeyman	67-07	-
bafa0e62dd75	TP5H0133	Bondkobben	47-40	-
cd8a81d10684	TP6P1739	Bonnie_And_Clyde	73-30	Vigalante lovers running from the law
95a5e41f1dfd	TP6P1321	Boomerang	72-06	At 1 kelvin; the coldest place known.
b1c145c78235	UP5P0524	Borasco	73-27	-
17b7f9bc90f2	UP4P0134	Boron	40-55	-
a1e00e525b7a	TP6Y4437	Brahma	65-30	Indian Gods and legendary heroes
927188038066	TP4Y0041	Braugold	58-56	-
b48a8b18bdde	AP6P1128	Brick_Top	68-63	person with red or redish brown hair
61a0d760953f	UP6P1308	Bride_Of_Chucky	56-51	The fourth movie in the Childs Play series. Made in 1998 it stars Jennifer Tilly (who plays and voices Tiffany) & Brad Dourif (the voice of Chucky). Chucky gets lucky.
0b60356a7aa2	UP6P1376	Bridge_Card	73-53	A card Game
f4dee2a2de14	UP5P0516	Brisote	64-37	-
5c65ca7400c2	TP5Y0191	Bristol_409	38-40	-
7df47437aefd	UP4H0054	Bro	30-39	-
449c530e37ea	UP5H0220	Brommaplan	40-23	-
1ebec6395f96	TP4P0179	Brown_ale	21-63	-
57363a184c52	UP5P0556	Brubu	74-23	-
43149cdc4362	UP5P0784	Bryology	66-21	-
5e903b212571	UP5P1044	Bubonic_Plague	78-01	-
fe6689460566	TP4P0103	Bucatini	21-60	-
db32d1a4bdb4	UP6P1256	Buckbean	65-23	A Flower
9f05fd6341a1	TP6P1463	Buckland_River	67-36	at base of Seward Peninsula
944a4127d4ca	UP6Y4364	Budai	74-57	Chinese gods and mythical heroes
e8341d6ea7d0	TP5Y0193	Bugatti_EB	49-50	-
6ae888e70256	UP6H7608	Bult	77-27	NULL
d1276f7cc60d	AP6P1110	Bump_Stop	62-63	Is Bumpy !
be4aa5ff4ff4	TP5H0135	Buskharan	63-28	-
6584848b8317	AP6P1101	Bus_Stop	69-63	A 1956 film, featuring Marilyn Monroe as Cherie
71b3c1992259	UP4P0200	Butadieneish	74-29	-
a84b108f5845	UP6P1682	Butch_Cassidy	70-09	Story of fleeing bank_train robbers
320182c54649	TP6P1257	Buttercup	72-38	A Flower
3539047b9cf7	UP5P1002	Butyrophilia	38-41	-
9ff0a5e24485	AP6P1162	Byzantium	60-63	NULL
9355a9ae0ac7	TP4P0183	Cabernet_sauvignon	66-61	-
2410bfaaf613	TP7P2157	Cabrales	55-12	NULL
9470e4779291	TP5Y0197	Cadillac_Fleetwood	59-24	-
72e1e8456bc0	UP7Y4572	Cadurci	70-59	NULL
e9b007de6ffd	TP7P2149	Caerphilly	55-22	NULL
18aa36f42808	TP7Y4513	Cafeolix	70-06	NULL
17b728c47bf8	UP5P0680	Cainophobia	71-31	-
492c1a88a3b0	TP6Y4455	Caishen	58-28	Chinese gods and mythical heroes
e007c1d9df3b	UP6Y4288	Cakulha	47-09	NULL
e46756e7b9b0	UP5P1018	California	67-13	-
2cfab071a3c9	TP6P1415	California_Speed	78-56	A card Game
95bb4d9871d1	UP4P0272	Camel	73-41	-
3f32d31b4ea8	UP6P1220	Camellia	56-43	Hole 10 Par 4   495 yards
5afd3f215d81	UP6P1390	Canasta	65-35	A card Game
3dac398e0d9d	TP4P0111	Cannelloni	40-58	-
d589876c63ce	TP6P1437	Canning_River	63-14	rises in N Brooks Range
4322eb749e4b	TP6Y4401	Canobus	57-28	Gods of Ancient Egypt
6a8317e4101a	UP7P2106	Cantal	55-21	NULL
7ebd7d71d238	UP6Y4454	Cao_Guojiu	72-13	Chinese gods and mythical heroes
1a52e915b7ff	UP4P0098	Capellini	49-59	-
b35b5ab19233	UP5P0512	Cape_Doctor	29-45	-
bae35355351f	UP6P1290	Captain_Spaulding	48-55	A fictional character created by Rob Zombie. He was portrayed by Sid Haig in House of 1000 Corpses and The Devils Rejects.
0d42d3e12c9f	UP4P0276	Capybara	30-45	-
5f223b64daf4	UP4P0120	Carambola	30-51	-
eeb299b6639d	AP4P0066	Carbon	30-63	-
0d2bb693c969	UP6H7520	Cardellgatan	72-45	-
739fdc97ae75	UP4Y0058	Cardinal	71-23	-
beb37f6943b8	UP5P0788	Cardiology	50-45	-
35bff912839d	TP7Y4527	Carferrix	70-40	NULL
d9002ecbbcd8	TP4Y0015	Carlsberg	71-22	-
47c85fc180da	TP6P1249	Carnation	48-34	A Flower
5f5c45dbb89f	UP5P0774	Carpology	46-39	-
b0e8db8dd9c1	TP4P0171	Carrot	40-34	-
8b6b6e4a1b47	AP6P1124	Carrot_Top	64-61	person with orange hair
2710e0a37528	AP6P1132	Car_Top	70-63	top of a car
bce25e925110	TP5Y0199	Case_Arrow	73-28	NULL
0dddc6303d32	TP6P1551	Castlevania	64-56	a game where you must defeat the evil Dracula
798e62def158	UP4P0280	Cat	38-09	-
36942fcf93ea	TP6P1307	Cat_People	48-16	A 1942 horror film which tells the story of a young Serbian woman, Irena Dubrovna (Simone Simon) who is haunted by the myth of the cat people of her village.
9de6c286404c	TP4P0115	Cavatelli	40-60	-
0b3d4beac530	UP4P0168	Cayenne_pepper	21-41	-
648209e0ed39	UP6P1760	Cayman_Airways	74-43	Cayman Islands national airline
5c71001db35b	TP6H7521	Cedersdalsgatan	72-30	-
400e34e99096	UP6H7522	Celsiusgatan	47-25	-
9b81bdbd2a65	TP6P1565	Centipede	71-56	a vertically oriented shoot em up game where you destroy the falling centipede
89bb41964a4e	TP6H7523	Centralplan	72-60	-
b793070d9157	UP5P0752	Cerealogy	71-13	-
754dad1d3800	UP4Y0030	Ceres	49-01	German Beers
75f1a642df54	TP4P0161	Cerrano_pepper	29-61	-
4e5385cea8c8	TP5P0735	Cerulean_Blue	62-40	color
3374175d23d0	UP5P0768	Cetology	38-35	-
36513d3b6170	TP5P0969	Chagas	78-58	-
862c6d0172c6	UP6P1444	Chakachatna_River	67-21	S. Alaska; issues from Chakachamna L.
03ecb484abe8	UP6P1462	Chandalar_River	67-09	NRiver central Alaska; rises in 3 headstreams in Brooks Range
5b7003b3954b	UP6H7524	Chapmansgatan	72-55	-
f23c1d938a5b	UP4P0162	Chardonnay	21-43	-
2b03e866d847	UP5P0984	Chasmophilia	39-41	-
58d6c8549ea9	TP7P2151	Cheddar	55-14	NULL
75c11de211e3	TP6Y4481	Chem	64-14	Gods of Ancient Egypt
5718b2191491	TP6P1455	Chena_River	63-58	clear water stream running from the hills east of Fairbanks
07f0bd878087	UP6Y4402	Cheper	47-33	Gods of Ancient Egypt
2d89e981dcfe	TP4P0105	Cherry	74-54	-
73fd7f984168	TP5Y0201	Chevrolet_Corvette	71-44	-
ff2611fbf505	TP5Y0203	Chevron_B6	49-40	-
34f822f0976c	TP5P0845	Cheyenne	74-22	-
a81913342414	TP5P0925	Chicago	74-26	-
290146796959	UP5P1058	Chickenpox	65-11	-
9a657b388676	UP6P1286	Childs_Play	48-59	There comes a time to put away childhood things. But some things wont stay put!
544bd104ea58	UP6P1874	Chimay	55-49	NULL
bb080ba774fc	UP4P0290	Chimpanzee	50-01	-
3156362e46c7	UP6P1664	Chinatown	70-19	Classic style Film Noir made in the 70s
d758cad34d26	TP6P1251	Chincerinchee	46-18	A Flower
3054a4ac20b4	TP6P1215	Chinese_Fir	48-56	Hole 14 Par 4   440 yards
b1cdc0f842c1	UP5P0508	Chinook	63-01	-
5beca48d2e43	TP7P2277	Chinookan_Tribe	62-38	NULL
9c2e12ab67e3	UP4P0292	Chipmunk	74-03	-
6f9ff572e013	TP6P1433	Chitina_River	58-32	S Alaska; rises in St. Elias Mts.
0560ad5c1808	TP6Y4459	Chiyou	73-60	Chinese gods and mythical heroes
0251e7f5c6d8	UP4P0154	Chlorine	38-55	-
0a5754d9a957	UP6Y4232	Chnubis	57-31	Gods of Ancient Egypt
529b0aea563e	UP6Y4482	Chnum	57-15	Gods of Ancient Egypt
bc02916c64b8	UP5P1038	Cholera	56-47	-
6c34a4a77c08	TP4P0153	Cholesterol	21-32	-
1e21b852c1a2	UP5P0594	Chorophobia	59-01	-
d545271dc584	TP7P2209	Christopher_Robin	62-20	NULL
444cbb6e075c	TP5Y0205	Chrysler_Le_Baron	50-16	-
e8436c102150	UP5P0536	Chubasco	66-57	-
8f9bc5767128	TP6P1439	Chulitna_River	58-26	S central Alaska; rises in McKinley glacier system
1a4beb8ea7ae	UP6Y4368	Chung_Lung	77-55	Chinese gods and mythical heroes
1f38af16108c	UP6P1838	Chuuk	76-59	NULL
e069e7bf4e32	TP6Y4457	Chu_Jung	78-14	Chinese gods and mythical heroes
5e633c97ea19	TP6P1607	CID_Investigators	63-30	Characters from Joseph Hellers catch-22
729a1180042d	UP4P0248	Cinnamaldehyde	67-19	-
f87b38c23e18	TP5Y0207	Citroen_2cv	30-38	-
615d096bc5e5	UP6P1614	Civilization	63-27	a turn based strategy game for the PC
3e1f5c9d31ad	UP6Y4262	Cizin	46-55	NULL
e71d010964ff	UP5P0790	Climatology	73-31	-
dbff766ae300	UP5P0720	Clinophobia	39-47	-
9efb62d7b3c5	UP6P1620	Close_Encounters	64-17	Benevolent aliens visit Earth
03728e4a666d	TP6P1241	Coal_Sack	72-46	Known to the people of the Southern Hemisphere in prehistoric times.
a1f6113a9610	TP6P1451	COBOL	70-30	COmmon Business Oriented Language
356650fbf4c5	TP6P1361	Cocoon	76-26	Lies at the end of an interesting dark nebulae, located in the star field Cygnus.
80bf89d1a264	UP5P0698	Coitophobia	29-33	-
f0e8bf75bb81	UP7P2108	Colby	55-41	NULL
ded59285c47d	UP6P1496	Coleen_River	67-35	NE Alaska; rises in Davidson Mts.
cd450cc5aa3b	AP6P1189	Cologne	61-62	NULL
460ca2afb9cf	UP6P1584	Colonel_Moodus	76-57	Character from Joseph Hellers catch-22
03884df4c15c	UP5P1022	Colorado	59-47	-
91134436a618	TP5P0897	Columbia	40-22	-
200b318520d9	TP5P0933	Columbus	71-14	-
b4051abae4b5	TP6P1471	Colville_River	58-36	rising in the De Long Mts. of the Brooks Range, NW Alaska, and flowing across the tundra
f41ea5a471ff	TP6Y4397	Comix	70-32	NULL
5b9ae7909352	TP4P0101	Conchiglie	21-02	-
fdc5695d1990	UP5P0722	Conchology	56-29	-
c1c6c5f74dd1	TP5P0947	Concord	59-50	-
d68886f0d068	TP5P0885	Connecticut	67-52	-
a14ddadadbc5	AP6P1165	Constantinople	52-61	NULL
556fb9649781	TP6P1579	Contra	71-04	an arcade game later released on Nintendo systems; a run and shoot type game
db35ff66b8a9	TP6P1703	Conversation	64-20	Surveillance expert becomes paranoid
9f87a5502102	TP6P1743	Cool_Hand_Luke	72-58	Man rebels against rural life
537dae6a7659	TP5Y0209	Copper_Mini	50-60	-
3f028cb686b7	UP6P1422	Copper_River	67-47	rising in the Wrangell Mts.
7f2f3283e323	AP6P1169	Cordoba	60-61	NULL
8c7165c1ee37	TP5Y0211	Cord_Sportsman	50-52	-
cfa965b53870	TP4P0211	Corn	49-30	-
774c7acad206	TP6P1261	Cornflower	48-30	A Flower
0f945673f4ef	UP5P0540	Coromell	38-43	-
95f39891b1b3	UP6P1626	Corporal_Snark	63-49	Character from Joseph Hellers catch-22
e018a94590f6	UP5P0800	Cosmology	59-59	-
8fcea300a7fe	UP7P2314	Coushatta_Nation	62-29	NULL
cb34e91ecaf8	TP5Y0213	Covini_C6W	30-44	-
